ItemID;Klasör1;Path;Name;Yetki;Tip;Hidden;SonKullanim;İlkKullanim;Kullanim;Kullanici;Ana Konu;Bu rapor neyi gösteriyor?;Ana KPI’lar;Zaman Seviyesi;Kullanılan Filtreler;Hedef Kullanıcı;Yetkili Gruplar / Kullanıcılar;Benzer Raporlar;Not
04E80DE2-CB00-4F77-9C41-F14820D061DE;Satış/;/Satış/Portföy Performans/Yeni Eklenen Firmalar_Detay;Yeni Eklenen Firmalar_Detay;barisk  Bi DEM  Bi Fiyatlandırma  Bi Kalite Ekibi  Bi Satış  bi Satis Gelistirme  Bi Teknolojisatis  bi TeleSatis  bisatisci  BISecurity  BUILTIN\Administrators  resat.akinsel  volkan.bora;Report;1;4.02.2026;20.02.2026;2.0;2;;;;;;;;;
C6C0B1C4-C38F-48D4-81D5-F6F52B6F5DE1;Satış/;/Satış/Kullanıcı Performans/Tele Satis Firma Arama Analizi;Tele Satis Firma Arama Analizi;atakan.zengin  Bi Satış  bi Satis Gelistirme  BISecurity  BUILTIN\Administrators;Report;0;30.12.2025;23.03.2026;33.0;5;;;;;;;;;
B5618629-082A-4E80-82D9-F7711BD36DB2;Satış/;/Satış/İKÇO ve Ekip Paket Satış Dashboardu;İKÇO ve Ekip Paket Satış Dashboardu;Bi Fiyatlandırma  Bi Satış  bi Satis Gelistirme  bi TeleSatis  bisatisci  BISecurity  BUILTIN\Administrators;Dashboard;0;2.01.2026;25.03.2026;38.0;22;;;;;;;;;
CD44CBCB-D8B5-4152-B389-F8647DE220D8;Satış/;/Satış/Coensio Yayınlanan Pozisyonlar;Coensio Yayınlanan Pozisyonlar;BISecurity  BUILTIN\Administrators;Dashboard;0;;;1.0;0;;;;;;;;;
B5633E82-9FBB-4255-9BB8-F8C5259B8D31;Satış/;/Satış/Kullanıcı Performans/Satis Oncesi Takip - Bolge Detayi;Satis Oncesi Takip - Bolge Detayi;Bi ik  Bi Satış  bi Satis Gelistirme  BISecurity  BUILTIN\Administrators  tayfunt;Report;0;30.01.2026;26.03.2026;79.0;8;;;;;;;;;
9E2A67A0-6877-49DB-8D13-F9556C355FEE;Satış/;/Satış/Kullanıcı Performans/Kalite Raporu;Kalite Raporu;Bi Kalite Ekibi  Bi MH  Bi Satış  bi Satis Gelistirme  BISecurity  BUILTIN\Administrators;Report;0;30.12.2025;26.02.2026;6.0;5;;;;;;;;;
80A41235-CD34-49D7-85B6-F96F4831F79D;Satış/;/Satış/Portföy Performans/Ilan Detay Istatistikleri;Ilan Detay Istatistikleri;Bi Fiyatlandırma  Bi Pazarlama Aday  Bi Pazarlama İşveren  Bi Satış  Bi Teknolojisatis  bi TeleSatis  bisatisci  BISecurity  BUILTIN\Administrators  cagla.ozturk;Report;0;2.01.2026;23.02.2026;3.0;2;;;;;;;;;
3A3325D7-EF8F-4ECB-8C28-FA2CB0E02FC4;Satış/;/Satış/Portföy Performans/Hareket Kaydi Girilmeyen Firmalar;Hareket Kaydi Girilmeyen Firmalar;Bi Satış  BISecurity  BUILTIN\Administrators;Report;0;11.02.2026;26.03.2026;31.0;4;;;;;;;;;
E800D0D9-55C5-4702-8E90-FAB68792E1D5;Satış/;/Satış/Portföy Performans/Deneme Hesabi Raporu_Detay;Deneme Hesabi Raporu_Detay;barisk  Bi DEM  Bi Fiyatlandırma  Bi Kalite Ekibi  Bi Satış  bi Satis Gelistirme  Bi Teknolojisatis  bi TeleSatis  bisatisci  BISecurity  BUILTIN\Administrators  resat.akinsel  volkan.bora;Report;1;;;1.0;0;;;;;;;;;
0F936D97-5F45-460A-BF8D-FB29B776BEC2;Satış/;/Satış/Portföy Performans/Ziyaret Talepleri_Detay;Ziyaret Talepleri_Detay;barisk  Bi DEM  Bi Fiyatlandırma  Bi Kalite Ekibi  Bi Satış  bi Satis Gelistirme  Bi Teknolojisatis  bi TeleSatis  bisatisci  BISecurity  BUILTIN\Administrators  resat.akinsel  volkan.bora;Report;1;30.01.2026;25.02.2026;8.0;2;;;;;;;;;
7BCAEB6D-E9EB-4ADC-9180-FBB823AEB4BC;Satış/;/Satış/Portföy Performans/Firma Ek Ürün Hakları ve Yenilemeleri;Firma Ek Ürün Hakları ve Yenilemeleri;Bi DEM  Bi Fiyatlandırma  Bi Pazarlama İşveren  Bi Satış  bi Satis Gelistirme  Bi Ürün Geliştirme  bisatisci  BISecurity  BUILTIN\Administrators  sare.akyuz  volkan.bora;Dashboard;0;6.01.2026;23.03.2026;30.0;12;;;;;;;;;
3552471F-37BC-400D-9AC3-FE7302AB4B7C;Satış/;/Satış/Portföy Performans/Kalan Ilan Oranlari Raporu;Kalan Ilan Oranlari Raporu;Bi Fiyatlandırma  Bi Satış  bi TeleSatis  bisatisci  BISecurity  BUILTIN\Administrators;Report;0;6.01.2026;26.03.2026;84.0;34;;;;;;;;;
48C1F35D-5D6E-487E-8086-FFD62BD24794;Satış/;/Satış/Portföy Performans/Aktif Ilan Basvuru Kıyaslaması;Aktif Ilan Basvuru Kıyaslaması;Bi Fiyatlandırma  Bi Satış  bi Satis Gelistirme  bilge.aydin  bisatisci  BISecurity  BUILTIN\Administrators  oznur.saglam;Report;0;6.01.2026;26.03.2026;11.0;7;;;;;;;;;
