ItemID;Name;Path;Type;CreationDate;ModifiedDate;Hidden
2826E2EB-86C7-4121-BC81-9FA6CB0B0FAF;Yenilememe Risk Alarmları;/Satış/Portföy Performans/Yenilememe Risk Alarmları;13;2025-10-17 16:45:40.240;2026-04-08 11:15:08.610;False
17769DE0-F7DD-4A39-84ED-4C33F0BBD057;Yenilemesi Gelen Firmalar;/Satış/Portföy Performans/Yenilemesi Gelen Firmalar;2;2018-04-12 11:32:21.490;2021-09-20 13:52:20.443;False
D0C27630-91B1-4590-A870-4F59A736F81E;Ziyaret Talepleri;/Satış/Portföy Performans/Ziyaret Talepleri;2;2018-05-28 16:51:13.213;2021-09-20 13:41:40.403;False
4531FDF8-2E60-454B-8377-B33920D2B4F6;Techcareer.net;/Satış/Techcareer.net;13;2022-03-15 17:40:41.887;2025-10-22 14:33:50.087;False
D81C9B77-0F8E-4564-94D1-3592063BA0C4;Turkiyeyi Mora Boyuyoruz;/Satış/Turkiyeyi Mora Boyuyoruz;13;2019-11-08 17:44:14.583;2024-07-09 14:38:18.853;False
E2028D45-B7D2-442F-A53D-805733913D74;WeHire Referans Listesi;/Satış/WeHire Referans Listesi;13;2022-12-20 15:09:06.893;2024-12-17 19:00:34.097;False
C23D6623-F751-4E5D-A5C1-39C87FD374B3;Aktif Pasif Ilanlar (R005);/Subscriptions/Aktif Pasif Ilanlar (R005);2;2019-08-21 13:56:26.060;2025-03-14 15:18:40.917;False
22836933-04F9-4D2D-9977-8AB34F3B98F8;Amazon Raporu;/Subscriptions/Amazon Raporu;2;2024-02-01 16:56:16.790;2025-05-29 17:03:42.807;False
623A8324-081D-4684-8FA0-4B2A785E9722;API Performans Raporu;/Subscriptions/API Performans Raporu;2;2019-06-25 17:13:18.433;2025-03-14 15:18:45.793;False
1182D34D-2BE7-4D89-9CFA-1AB68767859E;Avt ve Ilan Kullanimi (R009);/Subscriptions/Avt ve Ilan Kullanimi (R009);2;2019-08-21 13:55:14.890;2025-08-26 16:58:33.387;False
6E726AE8-AED8-4359-9E65-09A572479F5F;Aylik Churn Dashboardu Kullanim Raporu;/Subscriptions/Aylik Churn Dashboardu Kullanim Raporu;2;2025-08-25 17:10:31.907;2025-08-25 17:10:31.907;False
C3A4BDF8-D784-47C5-BB60-45F1C2259C48;Basvuru Cevaplama Raporu (ISO) (Gruplu);/Subscriptions/Basvuru Cevaplama Raporu (ISO) (Gruplu);2;2019-08-20 09:50:26.573;2025-05-14 08:37:54.410;False
3BA95743-0DDE-4E1E-92FD-43909682769C;Basvuru Cevaplama Raporu (ISO) (R002);/Subscriptions/Basvuru Cevaplama Raporu (ISO) (R002);2;2019-08-20 09:31:26.563;2025-05-14 08:37:48.220;False
B37BC0C5-20F5-4C11-89FA-4F4DF2C137D7;Basvurusunu Geri Ceken Adaylar;/Subscriptions/Basvurusunu Geri Ceken Adaylar;2;2019-12-03 17:27:04.297;2025-03-14 15:18:50.917;False
6FA4B3C3-CF65-4C5F-8060-1B9862C45F56;Denizbank (R003);/Subscriptions/Denizbank (R003);2;2019-08-21 13:52:03.790;2025-03-14 15:18:52.073;False
3FB31660-120A-41BD-9942-90AC5FDEE637;DogusGrubu;/Subscriptions/DogusGrubu;2;2019-08-21 13:51:47.783;2025-03-14 15:18:52.700;False
1C74016A-526B-4622-BF89-2BE9B0E65E1D;Firma Kullanici Detay Raporu (R008);/Subscriptions/Firma Kullanici Detay Raporu (R008);2;2019-08-21 13:53:46.320;2025-03-14 15:18:53.387;False
1497E5CC-D490-4F5D-8E9F-F0E5B093CE2A;Gunluk Satisci Aktivite Rakamlari;/Subscriptions/Gunluk Satisci Aktivite Rakamlari;2;2024-08-05 14:43:46.430;2026-03-17 11:03:26.543;False
71E236BD-6730-45C8-9170-5F22CCC9E5F1;Haftalik IKCO Aktivite Raporu;/Subscriptions/Haftalik IKCO Aktivite Raporu;2;2024-07-12 17:10:12.410;2025-03-14 15:18:56.027;False
03C932F4-30EA-4908-8EE9-8750525BEFED;Ikco-Gunluk Satis Raporu;/Subscriptions/Ikco-Gunluk Satis Raporu;2;2025-03-05 17:27:38.250;2026-02-12 14:54:53.277;False
83CA064D-4188-4221-8A76-583978D48F6F;Ikco-Gunluk Satis Raporu Grupsuz;/Subscriptions/Ikco-Gunluk Satis Raporu Grupsuz;2;2026-02-19 14:34:43.453;2026-02-19 14:36:13.563;False
B8EB8C34-3D85-4CE5-A959-A808EC497DC9;Ilan Bazli Basvuru Detayi (R014);/Subscriptions/Ilan Bazli Basvuru Detayi (R014);2;2019-09-16 13:45:00.887;2025-05-14 08:35:01.647;False
EC1667CF-2069-4BAD-B275-C792F9518CB0;Ilan Detay Raporu Donemsel (R007);/Subscriptions/Ilan Detay Raporu Donemsel (R007);2;2019-08-21 13:53:17.923;2025-03-14 15:18:59.807;False
A6E5B209-FA74-485B-AE04-E539229E2007;Isin Olsun Aktiflik Dashboard;/Subscriptions/Isin Olsun Aktiflik Dashboard;2;2025-03-28 12:07:01.167;2025-04-29 13:53:32.373;False
7260B541-63E4-4AB7-A590-A7793809E3E4;Isin Olsun-A101 Raporu;/Subscriptions/Isin Olsun-A101 Raporu;2;2024-06-28 16:49:13.133;2025-03-14 15:19:01.107;False
D3D7CD81-E7A4-47CA-9BCA-06AB13FB87A8;Isin Olsun-Köfteci Yusuf Raporu;/Subscriptions/Isin Olsun-Köfteci Yusuf Raporu;2;2026-04-09 11:59:59.003;2026-04-09 11:59:59.003;False
B166394C-6088-4988-A05C-B23A7C0F7EF1;Isin Olsun-Tespo Raporu;/Subscriptions/Isin Olsun-Tespo Raporu;2;2024-09-30 16:43:39.223;2025-03-14 15:19:02.153;False
9AC63C8F-8BB3-43C1-AD5E-A7F7211683D0;K360 Yeni Tanimlanan Kullanici Bilgilendirmesi;/Subscriptions/K360 Yeni Tanimlanan Kullanici Bilgilendirmesi;2;2026-01-16 15:19:55.223;2026-01-16 15:19:55.223;False
3F39D5AC-7AF1-4BA8-B224-B161A08FF5F4;Kalan Ilan Oranlari Raporu;/Subscriptions/Kalan Ilan Oranlari Raporu;2;2018-06-18 10:23:00.840;2025-03-14 15:19:03.637;False
BED127BE-80BD-4541-95A6-0F77150461F9;KocGrubu (R004);/Subscriptions/KocGrubu (R004);2;2019-08-21 16:41:28.670;2025-03-14 15:19:05.557;False
7A066426-0BAE-48CC-94D6-664FA5645E90;Matriks Raporu;/Subscriptions/Matriks Raporu;2;2020-11-23 14:55:35.023;2025-03-14 15:19:06.667;False
6E74EF0C-41FC-42B4-898F-70755A05A4F7;Organize Kullanici Bilgileri;/Subscriptions/Organize Kullanici Bilgileri;2;2019-11-08 14:46:39.390;2025-03-14 15:19:08.310;False
4EFD7B7D-776E-47F8-A349-E7AF297A8AAA;Pronet Bayi Projesi;/Subscriptions/Pronet Bayi Projesi;2;2025-09-10 09:33:09.340;2025-12-03 14:32:12.353;False
1475B505-E26B-441A-9711-30B030510B87;Satis Gelistirme - Cekilis;/Subscriptions/Satis Gelistirme - Cekilis;2;2021-01-29 09:50:08.197;2025-03-14 15:19:09.387;False
