ItemID;Name;Path;Type;Description;Hidden;Bu rapor neyi gösteriyor?;Ana KPI'lar
F77B2F93-6B4A-431F-9F32-A2EFF46DA95C;Firma Aranma - Ulasma Raporu;/Satış/Portföy Performans/Firma Aranma - Ulasma Raporu;2;Aktif - Pasif - Potansiyel Firmaların Son Arama ve Ulaşma Oranları;False;;
0BA7670D-D2F1-452B-BF8D-B2C1897BD025;Firma Aranma Analizi;/Satış/Portföy Performans/Firma Aranma Analizi;2;;False;;
7BCAEB6D-E9EB-4ADC-9180-FBB823AEB4BC;Firma Ek Ürün Hakları ve Yenilemeleri;/Satış/Portföy Performans/Firma Ek Ürün Hakları ve Yenilemeleri;13;;False;;
06F7147E-3DDC-497F-B9C1-EBAFBD2ADEE4;Firma ve Pozisyon Bazli Ilan Sayilari;/Satış/Portföy Performans/Firma ve Pozisyon Bazli Ilan Sayilari;2;;False;;
3A3325D7-EF8F-4ECB-8C28-FA2CB0E02FC4;Hareket Kaydi Girilmeyen Firmalar;/Satış/Portföy Performans/Hareket Kaydi Girilmeyen Firmalar;2;;False;;
80A41235-CD34-49D7-85B6-F96F4831F79D;Ilan Detay Istatistikleri;/Satış/Portföy Performans/Ilan Detay Istatistikleri;2;;False;;
53A730E2-C5E1-405F-93C4-46C4BB4D5C4C;Ilan Tuketim Raporu;/Satış/Portföy Performans/Ilan Tuketim Raporu;2;Aktif Firmaların Paket Bazında Kalan İlan Rakamları;False;;
3552471F-37BC-400D-9AC3-FE7302AB4B7C;Kalan Ilan Oranlari Raporu;/Satış/Portföy Performans/Kalan Ilan Oranlari Raporu;2;Sınırsız Paket Haricinde, Aktif Firmaların Kalan İlan Oranları;False;;
87CCA3E2-8CA4-48DE-A5F8-961C6CDB3E48;Matriks Raporu;/Satış/Portföy Performans/Matriks Raporu;2;;False;;
79DB7801-3921-40C7-831C-0952FE9603EE;NextGeo - Sonuç Kodu Raporu;/Satış/Portföy Performans/NextGeo - Sonuç Kodu Raporu;13;;False;;
17528818-8027-4FB8-8605-219D3B425A67;Pasif Firma Temas Raporu;/Satış/Portföy Performans/Pasif Firma Temas Raporu;2;Firmaların Bu yıl ve Öncesi Pasif Kırılımda Pasif Firmaların Aranma ve Ulaşılma Sıklıkları;False;;
BD544577-1285-4EC7-83FE-2D2CB3F91CF9;Sanal Asistan Raporu;/Satış/Portföy Performans/Sanal Asistan Raporu;2;;False;;
CA27CE1B-5C7A-4738-A2BD-ED1DCEB68BBC;Satisci Firma Dagilimlari;/Satış/Portföy Performans/Satisci Firma Dagilimlari;2;Satışçılar Üzerinde Bulunan Anlık Aktif - Pasif -  Potansiyel Firma Sayıları ve Haftalık Yeni Kazanım Rakamları;False;;
B8F25EFC-7385-460B-91B6-7024CE7A2310;Savedesk Protokolü;/Satış/Portföy Performans/Savedesk Protokolü;13;;False;;
2461E56C-31A4-4DA3-8E16-AADE7D786EB8;Teklif Raporu;/Satış/Portföy Performans/Teklif Raporu;2;Ekip Bazında Firmalara Verilen Aktif-Pasif-Potansiyel Teklif Sayıları ve 3 Ay İçerisinde Satışa Dönüşümleri;False;;
BC55BBB4-3AEA-4CD1-97F5-3FE99534FED0;WeHire Firma Kümeleri;/Satış/Portföy Performans/WeHire Firma Kümeleri;13;;False;;
CEB2C85A-C31B-4D29-A541-1CA3E4F0C274;Yeni Eklenen Firmalar;/Satış/Portföy Performans/Yeni Eklenen Firmalar;2;Yeni Eklenen Firmaların Ekip Detayında, Eklenme Kalanları ve 30 Gün İçersinde Aranma - Teklif Durumları;False;;
2826E2EB-86C7-4121-BC81-9FA6CB0B0FAF;Yenilememe Risk Alarmları;/Satış/Portföy Performans/Yenilememe Risk Alarmları;13;;False;;
17769DE0-F7DD-4A39-84ED-4C33F0BBD057;Yenilemesi Gelen Firmalar;/Satış/Portföy Performans/Yenilemesi Gelen Firmalar;2;Yenilemesi Gelen Firmaların Durumları (Yenilememiş - Erken Yenileme - Aynı Ay Yenileme Kırınımı);False;;
D0C27630-91B1-4590-A870-4F59A736F81E;Ziyaret Talepleri;/Satış/Portföy Performans/Ziyaret Talepleri;2;Saha Ekiplerine Açılan Ziyaret Talepleri ve Sonrası Aktivite Bilgileri;False;;
4531FDF8-2E60-454B-8377-B33920D2B4F6;Techcareer.net;/Satış/Techcareer.net;13;;False;;
