ItemID;Name;Path;Hidden;URL
9D1CC993-E81B-4623-AFD3-B201349CB5C6;Satış Kiti;/Satış/Kullanıcı Performans/Satış Kiti;False;https://raportal.kariyer.net/home/report/Sat%C4%B1%C5%9F/Kullan%C4%B1c%C4%B1%20Performans/Sat%C4%B1%C5%9F%20Kiti
B8F25EFC-7385-460B-91B6-7024CE7A2310;Savedesk Protokolü;/Satış/Portföy Performans/Savedesk Protokolü;False;https://raportal.kariyer.net/home/report/Sat%C4%B1%C5%9F/Portf%C3%B6y%20Performans/Savedesk%20Protokol%C3%BC
ED381194-DB32-4B13-A24A-27737552104F;Score Card;/Müşteri İlişkileri/Score Card;False;https://raportal.kariyer.net/home/report/M%C3%BC%C5%9Fteri%20%C4%B0li%C5%9Fkileri/Score%20Card
853AE850-27A6-4C75-A6E0-2933BB8A70E9;Sehir ve Pozisyon Bazli Maas Verileri;/Pazarlama ve Ürün Yönetimi/İşkolig/Sehir ve Pozisyon Bazli Maas Verileri;False;https://raportal.kariyer.net/home/report/Pazarlama%20ve%20%C3%9Cr%C3%BCn%20Y%C3%B6netimi/%C4%B0%C5%9Fkolig/Sehir%20ve%20Pozisyon%20Bazli%20Maas%20Verileri
8710A26F-CF24-4E83-9F7F-BEA8469C96C3;Sisecam (R002);/Subscriptions/Sisecam (R002);False;https://raportal.kariyer.net/home/report/Subscriptions/Sisecam%20%28R002%29
23CF8636-AF77-42BF-AEEE-6C60ED5F21F1;Sonradan Girilen Sozlesmeler;/Finans/Sonradan Girilen Sozlesmeler;False;https://raportal.kariyer.net/home/report/Finans/Sonradan%20Girilen%20Sozlesmeler
A87D8FCE-F076-423B-B678-E0C7AFBC633E;Sosyal Login;/Model/Sosyal Login;False;https://raportal.kariyer.net/home/report/Model/Sosyal%20Login
B690BA9F-5951-4583-BCEF-0A240FE5DCB1;Sozlesme Detayinda Kullanim;/Müşteri İlişkileri/Sozlesme Detayinda Kullanim;False;https://raportal.kariyer.net/home/report/M%C3%BC%C5%9Fteri%20%C4%B0li%C5%9Fkileri/Sozlesme%20Detayinda%20Kullanim
0506CE50-747C-4E02-91CE-71176F49401D;Sped Aday;/Müşteri İlişkileri/Sped Aday;False;https://raportal.kariyer.net/home/report/M%C3%BC%C5%9Fteri%20%C4%B0li%C5%9Fkileri/Sped%20Aday
31B77169-6F1B-4299-A5E3-A73821931DEC;Spent;/.KARİYER.NET CORE/Spent;False;https://raportal.kariyer.net/home/report/.KAR%C4%B0YER.NET%20CORE/Spent
